,price,lower,upper
100,400000,223017.99307780724,393031.9549773375
101,275000,261141.24720314995,401471.9308768549
102,379950,263631.9086971406,483564.3710391581
103,275000,199311.21907738078,321826.3554762022
104,895000,322649.95966794615,763243.3054718794
105,90000,71168.4213843594,207397.00656413627
106,200000,191176.0723654406,331623.2078812249
107,195000,178670.83505350293,305979.6911862135
108,185000,105175.4781054941,212360.25327475343
109,350000,281299.25583580515,566165.7807341107
110,120000,111675.70452031033,208138.2559215602
111,160000,133599.48473849392,217114.09885951292
112,60000,81683.01402087924,164581.75410865436
113,219950,170053.92364532684,284591.70097756514
114,369950,201486.56120826473,387195.87833479524
115,280000,230014.92957989138,455028.4757021541
116,270000,210409.87236168137,330820.6162670851
117,450000,216545.0417193892,403928.44074915815
118,142500,143422.55291650363,230334.44481089598
119,300000,240604.6064803867,386128.18671746517
120,160000,105039.17291867304,201116.0877373575
121,400000,176708.56783078448,324060.93435001426
122,165000,169224.10662174138,273737.5302182868
123,284050,251672.79697444456,372104.250655113
124,235000,187230.0388681827,294080.8646495595
125,299995,263631.9086971406,483564.3710391581
126,245000,204827.72230112436,322908.52681660384
127,210000,179790.90527275245,262722.918896536
128,550000,327725.59241743834,703858.6429329173
129,575000,345572.6977020088,797865.654975305
130,360000,236622.21281885327,382572.11751184636
131,575000,321459.6401996754,600749.3507677839
132,210000,283092.36036435276,465764.1170074651
133,245000,245637.31403223088,513972.6010699456
134,280000,216036.0050793884,416559.17192316055
135,375000,291427.00016624347,589674.8241845203
136,225000,182943.47266067337,282081.9946503714
137,125000,108682.02771496512,210869.16685313729
138,250000,240646.9876893858,381240.83689649776
139,139950,132145.89244900638,207239.77384224554
140,239950,214377.28600712924,351164.9042973622
141,140000,134312.13872433285,210869.16685313729
142,280000,166040.3004417123,248500.5358573248
143,200000,136603.865157393,220887.91004658878
144,185000,99905.19214084824,201116.0877373575
145,360000,229069.5435647819,374045.83408653596
146,115000,79638.97566683129,185700.24466331766
147,130000,124120.89766169027,237795.9260146046
148,249950,148407.03693425748,246858.38935510404
149,170000,171849.05394925628,269482.12677659816
150,160000,133874.69182398688,218658.62586854593
151,650000,344483.05953077186,792785.0785806271
152,195000,142510.88631364424,227730.973413631
153,239950,206456.47535314743,304229.66324030806
154,225000,227464.28661083523,382572.11751184636
155,259950,207737.21048712765,345943.8642301912
156,275000,233722.0386741607,436696.228629195
157,285000,153999.8030940913,277648.93593660183
158,330000,316365.1450798215,656521.5652385373
159,120000,104142.06403774624,222234.57829202074
